50000 200
840 46130 17
1040 22901 213
1187 31118 15
1552 18802 21
1720 31802 234
1816 43695 17
1832 8424 272
2042 29861 244
2048 43078 107
2359 24512 92
2655 28220 197
2900 18635 120
3847 27665 339
3954 23974 99
4018 29044 14
4163 26410 397
4340 8288 315
4515 47254 327
5026 13624 344
5160 21142 432
5389 34907 127
5441 44747 37
5957 24278 321
6157 23094 354
6965 32402 315
7155 15073 21
7475 14016 329
7584 1614 102
7647 26972 283
7718 26034 198
7968 14816 279
8102 38580 17
8499 47428 81
8978 14168 2
9084 16991 91
9759 42859 184
9984 49261 71
10062 19607 346
10163 4252 87
10258 40870 4
10508 5819 171
11037 44690 211
11290 49542 267
11352 23054 43
11420 27994 304
12122 4404 75
12999 38083 33
13301 41478 13
13332 33686 17
13696 12976 217
14612 186 281
15440 27306 235
15688 21940 308
16153 24927 136
16438 35414 116
16456 336 215
17318 555 157
18045 7848 305
18465 16784 89
18860 43174 131
18962 47372 110
19110 32609 287
19163 25038 289
19193 18280 229
19346 36118 94
19475 2966 300
19488 34564 44
20140 162 299
20397 27194 125
20521 38221 272
20643 25785 354
20656 5356 82
20897 48642 379
20932 5577 235
21021 44934 86
21049 10736 100
22501 44213 141
23108 42568 117
23472 35141 215
23917 34072 58
23940 47909 339
24149 7514 138
24165 23618 183
24411 28224 242
24585 34858 373
24852 21905 82
24860 42770 303
24972 22419 12
25254 38460 9
25561 15488 99
25834 24774 265
25862 24728 320
26396 25854 191
26456 19410 398
26658 41410 282
26860 35035 26
27056 24890 193
27294 40206 385
27583 1792 172
28200 38972 80
28219 640 182
28802 25722 182
28859 40573 203
28950 18792 116
29049 19065 274
29929 16615 387
30078 41426 397
31554 19678 203
31686 45178 407
32119 40034 65
32128 17210 281
32881 15540 42
32931 26765 250
32949 328 204
33623 20732 345
33889 2287 284
35290 42674 209
35363 30878 206
35533 37066 164
35552 11512 42
35607 11355 204
35609 44056 384
35821 24856 16
36447 234 313
38269 30360 47
39145 1961 293
39181 6259 31
39194 15010 287
39241 18174 31
39588 43178 240
39642 32136 303
40756 43270 352
41212 36656 103
41927 36742 333
42109 21355 197
42383 9716 326
43547 49912 223
43702 14615 371
43772 39863 27
43834 10184 377
44218 33350 205
44631 7007 308
45209 39390 308
46029 19671 169
46336 38412 114
46729 23149 165
46864 41950 24
47124 779 263
47467 2612 183
47737 36751 320
47745 16509 352
48063 25565 265
48480 27800 91
48643 26806 58
48800 42477 28
48827 41404 80
49567 9564 371
50276 47496 367
50846 28437 365
51101 9315 386
51450 30858 197
52379 46250 67
52864 10330 223
53397 33220 92
53410 15082 370
53423 42414 361
53927 27788 395
54273 11234 70
54448 39012 109
54533 39657 17
54733 40470 57
54860 1947 147
54906 41126 183
54921 43190 92
54939 14056 264
54965 29651 380
55479 30504 25
55606 19943 345
55895 6446 275
55919 23600 358
56280 5192 191
56531 842 146
57032 10238 332
58056 42732 157
58472 10914 219
58700 22947 347
59282 2541 217
60446 44018 178
61128 7339 121
61361 28956 126
62086 23208 137
62185 18431 321
62234 7120 394
63414 19312 245
63758 33228 214
63959 20115 86
64205 45205 231
64546 3404 241
65426 19274 212
65533 10810 238
0 0 0 0
1 0 0 0
2 0 0 0
3 47124 190 43945
4 26658 270 11977
5 43702 77 1824
6 0 0 0
7 0 0 0
8 24149 51 4806
9 0 0 0
10 0 0 0
11 0 0 0
12 59282 75 11131
13 0 0 0
14 43702 122 2066
15 0 0 0
16 18860 81 269
17 0 0 0
18 53410 93 9274
19 0 0 0
20 22501 69 18273
21 27294 52 22
22 27294 53 23
23 27294 54 24
24 27294 55 25
25 27294 56 39278
26 28219 180 37096
27 43834 205 34590
28 54448 54 42806
29 24585 143 28900
30 43702 52 13330
31 0 0 0
32 7475 68 33109
33 0 0 0
34 48063 265 1
35 0 0 0
36 43702 109 36732
37 0 0 0
38 0 0 0
39 0 0 0
40 5957 196 41786
41 0 0 0
42 20140 51 45639
43 62185 105 44
44 62185 106 45
45 62185 107 46
46 62185 108 46560
47 46729 153 48
48 46729 154 49
49 46729 155 40876
50 5957 213 36801
51 0 0 0
52 27056 29 16821
53 0 0 0
54 43702 344 41211
55 47745 221 12263
56 7968 118 9040
57 0 0 0
58 0 0 0
59 18045 119 60
60 18045 120 61
61 18045 121 62
62 18045 122 63
63 18045 123 64
64 18045 124 40832
65 53927 132 43176
66 0 0 0
67 18860 21 16233
68 59282 30 13298
69 0 0 0
70 59282 125 5371
71 0 0 0
72 19110 203 14973
73 26860 17 6316
74 42109 60 8398
75 0 0 0
76 1040 107 39629
77 7475 106 30819
78 0 0 0
79 0 0 0
80 47737 70 81
81 47737 71 82
82 47737 72 83
83 47737 73 84
84 47737 74 85
85 47737 75 86
86 47737 76 87
87 47737 77 88
88 47737 78 89
89 47737 79 90
90 47737 80 91
91 47737 81 92
92 47737 82 93
93 47737 83 94
94 47737 84 95
95 47737 85 96
96 47737 86 97
97 47737 87 98
98 47737 88 99
99 47737 89 100
100 47737 90 101
101 47737 91 102
102 47737 92 103
103 47737 93 2322
104 59282 89 30150
105 0 0 0
106 29049 130 107
107 29049 131 108
108 29049 132 109
109 29049 133 110
110 29049 134 111
111 29049 135 112
112 29049 136 5156
113 23940 8 21566
114 5441 9 41150
115 0 0 0
116 0 0 0
117 0 0 0
118 15440 51 17708
119 0 0 0
120 18045 7 121
121 18045 8 122
122 18045 9 123
123 18045 10 124
124 18045 11 125
125 18045 12 126
126 18045 13 127
127 18045 14 36350
128 19110 27 28825
129 0 0 0
130 47124 93 31256
131 5957 63 8868
132 4163 153 133
133 4163 154 134
134 4163 155 135
135 4163 156 136
